№   ;Tuman;Mahalla (МFY);Manzil;Yer maydoni chegaralarining burilish nuqtalari koordinatalari;;"Maydoni
(m2)";
;;;;Uzunlik;Kenglik;;
77;Shayxontoxur tumani;Катта Джарарык;Jarariq ko‘chasi (Uzumzor restorani oldi)dagi hudud;41.33926439971538;69.17767913130889;70 m2;10:10:46:02:01:0080 туман хокимлиги номида
;;;;41.339267196698486; 69.17784575824513;;
;;;;41.33922130377296;69.17784766690966;;
;;;;41.339221304404596;69.17768665872799;;
78;Shayxontoxur tumani;Аклан;Mannon Uyg‘ur ko‘chasi (Oqilon mahalla)dagi hudud;41.32187678300002;69.21489104269506;70 m2;бўш
;;;;41.321876819762444;69.21495032741146;;
;;;;41.32175572804083;69.21497284998141;;
;;;;41.32174322568088;69.2149134400621;;
79;Shayxontoxur tumani;Кукча;Mannon Uyg‘ur ko‘chasi (Ko‘kcha masjidi oldi)dagi hudud;41.32318074277649;69.2055719093025;123 m2;10:10:06:02:02:0049 Кўкча масжиди худуди
;;;;41.32321415719256;69.20586264451954;;
;;;;41.32316958535166;69.20586305140398;;
;;;;41.32313477767265;69.20557939035359;;
80;Shayxontoxur tumani;Чорсу; Qoratosh ko‘chasi (Tashkent Jewellery Centre oldi)dagi hudud;41.320399914046575;69.22579908789614;123 m2;бўш
;;;;41.32026735560963;69.22603231056424;;
;;;;41.3202284586996;69.22599350471621;;
;;;;41.320360968655876;69.22577681852138;;
81;Yunusobod tumani;Туркистан;Moyqo‘rg‘on ko‘chasi (“Huzur” mehmonxona oldi)dagi hududni;41.36919902019926;69.2669014516465;140 m2;бўш
;;;;41.36905180499974;69.26716045081595;;
;;;;41.36901159721766; 69.2671105721837;;
;;;;41.369161432960084;69.2668660405134;;
82;Yunusobod tumani;Биллур;Quloqtepa ko‘chasi (Billur restorani oldi)dagi hududni ;41.368915341823495;69.28067980717161;140 m2;бўш
;;;;41.36888895650071;69.2807261772006;;
;;;;41.36868592623925;69.280574204762;;
;;;;41.368719447451504;69.2805187633489;;
